,fast_ma,slow_ma,profit,end_capital,number_of_trades
358,49,66,-0.13019999999999998,8698,14
913,56,74,-0.13029999999999997,8697,14
466,26,68,-0.13080000000000003,8692,16
869,12,74,-0.13160000000000005,8684,18
276,31,65,-0.13180000000000003,8682,16
532,25,69,-0.13180000000000003,8682,16
1336,26,80,-0.13190000000000002,8681,16
401,27,67,-0.13190000000000002,8681,16
934,4,75,-0.132,8680,28
781,67,72,-0.1321,8679,22
622,47,70,-0.13239999999999996,8676,14
1337,27,80,-0.13270000000000004,8673,16
565,58,69,-0.13290000000000002,8671,16
1379,69,80,-0.13290000000000002,8671,14
1302,70,79,-0.133,8670,14
501,61,68,-0.1331,8669,20
306,61,65,-0.1331,8669,24
862,5,74,-0.13339999999999996,8666,26
769,55,72,-0.13349999999999995,8665,14
369,60,66,-0.13370000000000004,8663,20
656,12,71,-0.13380000000000003,8662,16
1132,53,77,-0.134,8660,14
1273,41,79,-0.13419999999999999,8658,14
160,40,63,-0.13429999999999997,8657,16
531,24,69,-0.13429999999999997,8657,16
631,56,70,-0.13439999999999996,8656,14
1134,55,77,-0.13439999999999996,8656,14
1155,76,77,-0.13449999999999995,8655,24
944,14,75,-0.13470000000000004,8653,16
1024,20,76,-0.13470000000000004,8653,16
293,48,65,-0.13480000000000003,8652,14
425,51,67,-0.1352,8648,14
364,55,66,-0.13539999999999996,8646,16
796,11,73,-0.13549999999999995,8645,20
1058,54,76,-0.13580000000000003,8642,14
539,32,69,-0.13580000000000003,8642,14
1276,44,79,-0.13580000000000003,8642,14
1259,27,79,-0.136,8640,16
667,23,71,-0.136,8640,16
467,27,68,-0.136,8640,16
868,11,74,-0.13680000000000003,8632,20
15,16,61,-0.13680000000000003,8632,16
74,15,62,-0.13749999999999996,8625,16
867,10,74,-0.13880000000000003,8612,20
299,54,65,-0.13890000000000002,8611,16
520,13,69,-0.139,8610,16
588,13,70,-0.139,8610,16
489,49,68,-0.13939999999999997,8606,14
300,55,65,-0.13990000000000002,8601,18
924,67,74,-0.14,8600,20
1096,17,77,-0.14,8600,16
1382,72,80,-0.14,8600,16
1015,11,76,-0.14029999999999998,8597,20
303,58,65,-0.14029999999999998,8597,20
48,49,61,-0.14070000000000005,8593,18
491,51,68,-0.14070000000000005,8593,14
587,12,70,-0.14080000000000004,8592,16
598,23,70,-0.14090000000000003,8591,16
1301,69,79,-0.1411,8589,14
1098,19,77,-0.1412,8588,16
135,15,63,-0.14139999999999997,8586,16
498,58,68,-0.14149999999999996,8585,16
797,12,73,-0.14149999999999996,8585,16
726,12,72,-0.14149999999999996,8585,16
700,56,71,-0.14190000000000003,8581,14
464,24,68,-0.14200000000000002,8580,16
863,6,74,-0.14259999999999995,8574,24
1232,77,78,-0.14280000000000004,8572,26
34,35,61,-0.14290000000000003,8571,16
424,50,67,-0.14300000000000002,8570,14
278,33,65,-0.1432,8568,16
912,55,74,-0.14329999999999998,8567,14
1374,64,80,-0.14349999999999996,8565,14
153,33,63,-0.14370000000000005,8563,16
563,56,69,-0.14390000000000003,8561,16
233,51,64,-0.14459999999999995,8554,14
232,50,64,-0.14459999999999995,8554,14
323,14,66,-0.1451,8549,16
1381,71,80,-0.1452,8548,14
94,35,62,-0.14539999999999997,8546,16
259,14,65,-0.14539999999999997,8546,16
108,49,62,-0.14549999999999996,8545,16
497,57,68,-0.14559999999999995,8544,16
